"19","AN","2","30"
"22","AN","1","30"
"23","ID","1","1"
"26","ID","2","3"
"66","ID","1","2"
"67","AN","2","80"
"82","R","1","8"
"93","AN","1","60"
"96","N0","1","10"
"98","ID","2","3"
"116","ID","3","15"
"127","AN","1","50"
"128","ID","2","3"
"143","ID","3","3"
"156","ID","2","2"
"166","AN","1","55"
"234","AN","1","48"
"235","ID","2","2"
"306","ID","1","2"
"309","ID","1","2"
"310","AN","1","30"
"329","AN","4","9"
"337","TM","4","8"
"352","AN","1","80"
"353","ID","2","2"
"355","ID","2","2"
"364","AN","1","256"
"365","ID","2","2"
"366","ID","2","2"
"373","DT","8","8"
"374","ID","3","3"
"380","R","1","15"
"443","AN","1","20"
"478","ID","1","1"
"481","ID","1","2"
"509","AN","10","10"
"522","ID","1","3"
"539","AN","1","30"
"554","N0","1","6"
"559","ID","2","2"
"584","ID","2","2"
"610","N2","1","15"
"628","AN","1","12"
"640","ID","2","2"
"649","R","1","10"
"659","ID","1","2"
"689","ID","2","2"
"706","ID","2","2"
"734","AN","1","12"
"735","ID","1","2"
"736","ID","1","1"
"752","ID","2","2"
"782","R","1","18"
"799","AN","1","30"
"875","ID","3","3"
"933","AN","1","264"
"1005","ID","4","4"
"1018","R","1","15"
"1035","AN","1","60"
"1036","AN","1","35"
"1037","AN","1","25"
"1038","AN","1","10"
"1039","AN","1","10"
"1065","ID","1","1"
"1066","ID","1","2"
"1067","ID","1","1"
"1068","ID","1","1"
"1069","ID","2","2"
"1073","ID","1","1"
"1074","ID","2","2"
"1095","N0","4","4"
"1109","ID","1","1"
"1136","ID","2","2"
"1165","ID","1","1"
"1188","ID","2","2"
"1203","ID","2","3"
"1207","ID","3","3"
"1216","ID","1","1"
"1218","ID","1","1"
"1219","ID","1","2"
"1220","ID","1","1"
"1221","ID","1","3"
"1222","AN","1","3"
"1223","ID","3","3"
"1250","ID","2","3"
"1251","AN","1","35"
"1270","ID","1","3"
"1271","AN","1","30"
"1328","N0","1","2"
"1336","ID","1","3"
"1339","AN","2","2"
"1365","ID","1","2"
"1470","N0","1","9"
"1701","ID","1","1"
"1705","AN","1","35"
"1715","ID","1","3"
