"19","AN","2","30"
"26","ID","2","3"
"66","ID","1","2"
"67","AN","2","80"
"93","AN","1","60"
"96","N0","1","10"
"98","ID","2","3"
"100","ID","3","3"
"116","ID","3","15"
"118","R","1","9"
"127","AN","1","50"
"128","ID","2","3"
"143","ID","3","3"
"156","ID","2","2"
"166","AN","1","55"
"212","R","1","17"
"234","AN","1","48"
"235","ID","2","2"
"248","ID","1","1"
"280","R","4","10"
"305","ID","1","2"
"309","ID","1","2"
"310","AN","1","30"
"329","AN","4","9"
"331","ID","2","2"
"332","R","1","6"
"337","TM","4","8"
"350","AN","1","20"
"352","AN","1","80"
"355","ID","2","2"
"358","R","1","15"
"363","ID","3","3"
"364","AN","1","256"
"365","ID","2","2"
"366","ID","2","2"
"373","DT","8","8"
"374","ID","3","3"
"378","ID","1","1"
"380","R","1","15"
"426","ID","2","2"
"443","AN","1","20"
"478","ID","1","1"
"481","ID","1","2"
"482","ID","2","2"
"506","ID","2","2"
"507","AN","3","12"
"508","AN","1","35"
"509","AN","10","10"
"510","AN","9","9"
"554","N0","1","6"
"559","ID","2","2"
"569","ID","1","3"
"591","ID","3","3"
"610","N2","1","15"
"623","ID","2","2"
"639","ID","2","2"
"649","R","1","10"
"662","ID","1","1"
"669","ID","3","3"
"706","ID","2","2"
"756","ID","1","2"
"770","AN","1","20"
"782","R","1","18"
"812","ID","1","10"
"819","ID","2","3"
"1018","R","1","15"
"1035","AN","1","60"
"1036","AN","1","35"
"1037","AN","1","25"
"1038","AN","1","10"
"1039","AN","1","10"
"1048","ID","1","3"
"1065","ID","1","1"
"1250","ID","2","3"
"1251","AN","1","35"
"1300","ID","4","4"
"1301","AN","1","10"
"1705","AN","1","35"
"1715","ID","1","3"
